product_id,delivery_estimate,delivery_speed_score,offer_strength,availability,last_updated
81,7 days,0.14285714285714285,Discount,Out of Stock,2025-07-27T21:34:17.633592
82,2 days,0.5,Exchange Offer,In Stock,2025-07-27T21:34:17.633750
83,7 days,0.14285714285714285,Exchange Offer,In Stock,2025-07-27T21:34:17.633898
84,4 days,0.25,Exchange Offer,Limited Stock,2025-07-27T21:34:17.634044
85,1 day,1.0,,In Stock,2025-07-27T21:34:17.634268
86,4 days,0.25,,Out of Stock,2025-07-27T21:34:17.634547
87,3 days,0.3333333333333333,No Cost EMI,Out of Stock,2025-07-27T21:34:17.634706
88,5 days,0.2,Discount,In Stock,2025-07-27T21:34:17.634849
89,3 days,0.3333333333333333,,Out of Stock,2025-07-27T21:34:17.635057
90,5 days,0.2,Bank Offer,Out of Stock,2025-07-27T21:34:17.635288
91,7 days,0.14285714285714285,Cashback,In Stock,2025-07-27T21:34:17.635434
92,5 days,0.2,Bank Offer,Limited Stock,2025-07-27T21:34:17.635571
93,2 days,0.5,Cashback,Limited Stock,2025-07-27T21:34:17.635709
94,5 days,0.2,,In Stock,2025-07-27T21:34:17.635843
95,5 days,0.2,Exchange Offer,Out of Stock,2025-07-27T21:34:17.635967
96,3 days,0.3333333333333333,Exchange Offer,In Stock,2025-07-27T21:34:17.636096
97,1 day,1.0,Cashback,Out of Stock,2025-07-27T21:34:17.636386
98,5 days,0.2,Bank Offer,Limited Stock,2025-07-27T21:34:17.636526
99,4 days,0.25,,In Stock,2025-07-27T21:34:17.636668
100,2 days,0.5,Cashback,In Stock,2025-07-27T21:34:17.636821
101,2 days,0.5,No Cost EMI,Out of Stock,2025-07-27T21:34:17.636974
102,3 days,0.3333333333333333,Discount,Limited Stock,2025-07-27T21:34:17.637109
103,4 days,0.25,,In Stock,2025-07-27T21:34:17.637317
104,2 days,0.5,No Cost EMI,Out of Stock,2025-07-27T21:34:17.637449
105,1 day,1.0,,In Stock,2025-07-27T21:34:17.637580
106,1 day,1.0,Bank Offer,Limited Stock,2025-07-27T21:34:17.637711
107,7 days,0.14285714285714285,Discount,Out of Stock,2025-07-27T21:34:17.637833
108,4 days,0.25,Exchange Offer,In Stock,2025-07-27T21:34:17.637968
109,4 days,0.25,,Limited Stock,2025-07-27T21:34:17.638092
110,2 days,0.5,,Out of Stock,2025-07-27T21:34:17.638221
111,1 day,1.0,Exchange Offer,Out of Stock,2025-07-27T21:34:17.638348
112,5 days,0.2,Discount,Limited Stock,2025-07-27T21:34:17.638477
113,1 day,1.0,,In Stock,2025-07-27T21:34:17.638710
114,1 day,1.0,,Out of Stock,2025-07-27T21:34:17.638908
115,4 days,0.25,Cashback,Limited Stock,2025-07-27T21:34:17.639069
116,4 days,0.25,,Out of Stock,2025-07-27T21:34:17.639208
117,3 days,0.3333333333333333,Cashback,Limited Stock,2025-07-27T21:34:17.639339
118,2 days,0.5,,In Stock,2025-07-27T21:34:17.639470
119,6 days,0.16666666666666666,Discount,Limited Stock,2025-07-27T21:34:17.639603
120,1 day,1.0,Bank Offer,In Stock,2025-07-27T21:34:17.639731
121,5 days,0.2,Discount,Out of Stock,2025-07-27T21:34:17.639865
122,6 days,0.16666666666666666,,Out of Stock,2025-07-27T21:34:17.639996
123,4 days,0.25,Exchange Offer,Out of Stock,2025-07-27T21:34:17.640187
124,2 days,0.5,Discount,Limited Stock,2025-07-27T21:34:17.640354
125,5 days,0.2,Exchange Offer,In Stock,2025-07-27T21:34:17.640491
126,2 days,0.5,Exchange Offer,Out of Stock,2025-07-27T21:34:17.640616
127,3 days,0.3333333333333333,No Cost EMI,Limited Stock,2025-07-27T21:34:17.640743
128,5 days,0.2,Discount,Limited Stock,2025-07-27T21:34:17.640871
129,5 days,0.2,Cashback,Out of Stock,2025-07-27T21:34:17.640997
130,3 days,0.3333333333333333,Cashback,Out of Stock,2025-07-27T21:34:17.641125
131,7 days,0.14285714285714285,Bank Offer,In Stock,2025-07-27T21:34:17.641254
132,1 day,1.0,,Limited Stock,2025-07-27T21:34:17.641380
133,2 days,0.5,Cashback,Limited Stock,2025-07-27T21:34:17.641504
134,3 days,0.3333333333333333,Discount,Limited Stock,2025-07-27T21:34:17.641627
135,3 days,0.3333333333333333,No Cost EMI,Out of Stock,2025-07-27T21:34:17.641750
136,3 days,0.3333333333333333,Bank Offer,In Stock,2025-07-27T21:34:17.641873
137,3 days,0.3333333333333333,Exchange Offer,Out of Stock,2025-07-27T21:34:17.641993
138,4 days,0.25,Bank Offer,In Stock,2025-07-27T21:34:17.642361
139,3 days,0.3333333333333333,Exchange Offer,Limited Stock,2025-07-27T21:34:17.642509
140,7 days,0.14285714285714285,No Cost EMI,In Stock,2025-07-27T21:34:17.642637
141,6 days,0.16666666666666666,Exchange Offer,In Stock,2025-07-27T21:34:17.642759
142,1 day,1.0,Bank Offer,Limited Stock,2025-07-27T21:34:17.642883
143,7 days,0.14285714285714285,Discount,In Stock,2025-07-27T21:34:17.643005
144,1 day,1.0,Discount,In Stock,2025-07-27T21:34:17.643126
145,5 days,0.2,Discount,In Stock,2025-07-27T21:34:17.643246
146,1 day,1.0,Cashback,In Stock,2025-07-27T21:34:17.643365
147,3 days,0.3333333333333333,Bank Offer,Out of Stock,2025-07-27T21:34:17.643486
148,5 days,0.2,Cashback,Limited Stock,2025-07-27T21:34:17.643605
149,4 days,0.25,Discount,In Stock,2025-07-27T21:34:17.643724
150,7 days,0.14285714285714285,Cashback,Out of Stock,2025-07-27T21:34:17.643871
151,1 day,1.0,,Limited Stock,2025-07-27T21:34:17.644013
152,7 days,0.14285714285714285,No Cost EMI,Out of Stock,2025-07-27T21:34:17.644153
153,4 days,0.25,Cashback,Out of Stock,2025-07-27T21:34:17.644299
154,1 day,1.0,Bank Offer,Out of Stock,2025-07-27T21:34:17.644439
155,6 days,0.16666666666666666,,In Stock,2025-07-27T21:34:17.644567
156,3 days,0.3333333333333333,No Cost EMI,Limited Stock,2025-07-27T21:34:17.644697
157,7 days,0.14285714285714285,Bank Offer,Limited Stock,2025-07-27T21:34:17.644825
158,1 day,1.0,Exchange Offer,In Stock,2025-07-27T21:34:17.644953
159,5 days,0.2,Exchange Offer,Out of Stock,2025-07-27T21:34:17.645073
160,4 days,0.25,,Limited Stock,2025-07-27T21:34:17.645190
161,5 days,0.2,,In Stock,2025-07-27T21:34:17.645311
162,6 days,0.16666666666666666,,Out of Stock,2025-07-27T21:34:17.645437
163,1 day,1.0,Cashback,In Stock,2025-07-27T21:34:17.645991
164,6 days,0.16666666666666666,Discount,Out of Stock,2025-07-27T21:34:17.646177
165,2 days,0.5,Discount,Limited Stock,2025-07-27T21:34:17.646325
166,7 days,0.14285714285714285,,In Stock,2025-07-27T21:34:17.646464
167,6 days,0.16666666666666666,,In Stock,2025-07-27T21:34:17.646596
168,2 days,0.5,Bank Offer,Limited Stock,2025-07-27T21:34:17.646726
169,4 days,0.25,Bank Offer,Limited Stock,2025-07-27T21:34:17.646852
170,2 days,0.5,Exchange Offer,Out of Stock,2025-07-27T21:34:17.646977
171,2 days,0.5,Cashback,In Stock,2025-07-27T21:34:17.647120
172,6 days,0.16666666666666666,Cashback,Out of Stock,2025-07-27T21:34:17.647250
173,2 days,0.5,Bank Offer,Limited Stock,2025-07-27T21:34:17.647379
174,1 day,1.0,Discount,Limited Stock,2025-07-27T21:34:17.647514
175,6 days,0.16666666666666666,Bank Offer,In Stock,2025-07-27T21:34:17.647662
176,4 days,0.25,No Cost EMI,Out of Stock,2025-07-27T21:34:17.647789
177,5 days,0.2,Discount,In Stock,2025-07-27T21:34:17.647911
178,6 days,0.16666666666666666,Bank Offer,In Stock,2025-07-27T21:34:17.648047
179,4 days,0.25,,Out of Stock,2025-07-27T21:34:17.648166
180,5 days,0.2,Cashback,Limited Stock,2025-07-27T21:34:17.648286
181,5 days,0.2,Bank Offer,Limited Stock,2025-07-27T21:34:17.648404
182,3 days,0.3333333333333333,Cashback,Limited Stock,2025-07-27T21:34:17.648521
183,6 days,0.16666666666666666,Bank Offer,Out of Stock,2025-07-27T21:34:17.648636
184,7 days,0.14285714285714285,Bank Offer,Out of Stock,2025-07-27T21:34:17.648752
185,6 days,0.16666666666666666,Cashback,Out of Stock,2025-07-27T21:34:17.648868
186,7 days,0.14285714285714285,,Out of Stock,2025-07-27T21:34:17.648983
187,5 days,0.2,Exchange Offer,Limited Stock,2025-07-27T21:34:17.649100
188,4 days,0.25,Exchange Offer,In Stock,2025-07-27T21:34:17.649218
189,2 days,0.5,No Cost EMI,Out of Stock,2025-07-27T21:34:17.652612
190,4 days,0.25,Cashback,Out of Stock,2025-07-27T21:34:17.652837
191,2 days,0.5,,Out of Stock,2025-07-27T21:34:17.652972
192,1 day,1.0,Bank Offer,Out of Stock,2025-07-27T21:34:17.653217
193,3 days,0.3333333333333333,,In Stock,2025-07-27T21:34:17.653382
194,3 days,0.3333333333333333,,Out of Stock,2025-07-27T21:34:17.653524
195,6 days,0.16666666666666666,Bank Offer,Out of Stock,2025-07-27T21:34:17.653671
196,7 days,0.14285714285714285,Cashback,Limited Stock,2025-07-27T21:34:17.653802
197,4 days,0.25,,In Stock,2025-07-27T21:34:17.653913
198,1 day,1.0,Exchange Offer,Out of Stock,2025-07-27T21:34:17.654023
199,5 days,0.2,Bank Offer,Out of Stock,2025-07-27T21:34:17.654192
200,1 day,1.0,Discount,Out of Stock,2025-07-27T21:34:17.654329
201,3 days,0.3333333333333333,,Out of Stock,2025-07-27T21:34:17.654452
202,4 days,0.25,Cashback,Out of Stock,2025-07-27T21:34:17.654577
203,4 days,0.25,Cashback,Out of Stock,2025-07-27T21:34:17.654684
204,1 day,1.0,Exchange Offer,Out of Stock,2025-07-27T21:34:17.654790
205,6 days,0.16666666666666666,Bank Offer,Out of Stock,2025-07-27T21:34:17.654900
206,6 days,0.16666666666666666,No Cost EMI,Out of Stock,2025-07-27T21:34:17.655009
207,4 days,0.25,Cashback,In Stock,2025-07-27T21:34:17.655116
208,5 days,0.2,Bank Offer,Limited Stock,2025-07-27T21:34:17.655220
209,2 days,0.5,,In Stock,2025-07-27T21:34:17.655335
210,5 days,0.2,Discount,Out of Stock,2025-07-27T21:34:17.655474
211,2 days,0.5,Discount,Limited Stock,2025-07-27T21:34:17.655604
212,1 day,1.0,,In Stock,2025-07-27T21:34:17.655732
213,7 days,0.14285714285714285,Cashback,In Stock,2025-07-27T21:34:17.655856
214,7 days,0.14285714285714285,,Out of Stock,2025-07-27T21:34:17.656346
215,3 days,0.3333333333333333,Discount,In Stock,2025-07-27T21:34:17.656511
216,6 days,0.16666666666666666,No Cost EMI,Limited Stock,2025-07-27T21:34:17.656639
217,2 days,0.5,Exchange Offer,Limited Stock,2025-07-27T21:34:17.656756
218,2 days,0.5,Bank Offer,Limited Stock,2025-07-27T21:34:17.656871
219,4 days,0.25,,In Stock,2025-07-27T21:34:17.656983
220,3 days,0.3333333333333333,Bank Offer,Out of Stock,2025-07-27T21:34:17.657095
221,3 days,0.3333333333333333,Cashback,In Stock,2025-07-27T21:34:17.657206
222,5 days,0.2,,In Stock,2025-07-27T21:34:17.657316
223,1 day,1.0,No Cost EMI,In Stock,2025-07-27T21:34:17.657427
224,7 days,0.14285714285714285,Discount,In Stock,2025-07-27T21:34:17.657537
225,5 days,0.2,Cashback,Out of Stock,2025-07-27T21:34:17.657646
226,1 day,1.0,Bank Offer,Out of Stock,2025-07-27T21:34:17.657758
227,3 days,0.3333333333333333,No Cost EMI,In Stock,2025-07-27T21:34:17.657873
228,6 days,0.16666666666666666,,In Stock,2025-07-27T21:34:17.657985
229,1 day,1.0,Exchange Offer,Limited Stock,2025-07-27T21:34:17.659829
230,1 day,1.0,Cashback,Limited Stock,2025-07-27T21:34:17.660007
231,4 days,0.25,Bank Offer,Limited Stock,2025-07-27T21:34:17.660311
232,3 days,0.3333333333333333,No Cost EMI,In Stock,2025-07-27T21:34:17.660471
233,1 day,1.0,Discount,Limited Stock,2025-07-27T21:34:17.660611
234,6 days,0.16666666666666666,,Out of Stock,2025-07-27T21:34:17.660750
235,1 day,1.0,No Cost EMI,Limited Stock,2025-07-27T21:34:17.660881
236,7 days,0.14285714285714285,Discount,Limited Stock,2025-07-27T21:34:17.661009
237,2 days,0.5,No Cost EMI,Limited Stock,2025-07-27T21:34:17.661229
238,5 days,0.2,Cashback,In Stock,2025-07-27T21:34:17.661424
239,7 days,0.14285714285714285,Discount,Out of Stock,2025-07-27T21:34:17.661563
240,7 days,0.14285714285714285,Exchange Offer,Out of Stock,2025-07-27T21:34:17.661697
241,5 days,0.2,,In Stock,2025-07-27T21:34:17.661830
242,3 days,0.3333333333333333,Exchange Offer,Out of Stock,2025-07-27T21:34:17.661965
243,2 days,0.5,No Cost EMI,Out of Stock,2025-07-27T21:34:17.662098
244,6 days,0.16666666666666666,Discount,Out of Stock,2025-07-27T21:34:17.662233
245,4 days,0.25,Exchange Offer,Out of Stock,2025-07-27T21:34:17.662365
246,1 day,1.0,Bank Offer,Out of Stock,2025-07-27T21:34:17.662497
247,5 days,0.2,Exchange Offer,Out of Stock,2025-07-27T21:34:17.662627
248,3 days,0.3333333333333333,,Limited Stock,2025-07-27T21:34:17.662762
249,5 days,0.2,Bank Offer,Out of Stock,2025-07-27T21:34:17.662889
250,1 day,1.0,Cashback,Limited Stock,2025-07-27T21:34:17.663265
251,4 days,0.25,Exchange Offer,Limited Stock,2025-07-27T21:34:17.663442
252,6 days,0.16666666666666666,No Cost EMI,Out of Stock,2025-07-27T21:34:17.663572
253,2 days,0.5,Discount,In Stock,2025-07-27T21:34:17.663700
254,4 days,0.25,Bank Offer,Out of Stock,2025-07-27T21:34:17.663836
255,3 days,0.3333333333333333,Cashback,Limited Stock,2025-07-27T21:34:17.663954
256,1 day,1.0,,Out of Stock,2025-07-27T21:34:17.664066
257,3 days,0.3333333333333333,Bank Offer,Limited Stock,2025-07-27T21:34:17.664179
258,1 day,1.0,No Cost EMI,Limited Stock,2025-07-27T21:34:17.664294
259,2 days,0.5,Bank Offer,Out of Stock,2025-07-27T21:34:17.664406
260,5 days,0.2,Bank Offer,In Stock,2025-07-27T21:34:17.664515
261,2 days,0.5,Cashback,Limited Stock,2025-07-27T21:34:17.664626
262,7 days,0.14285714285714285,Cashback,Limited Stock,2025-07-27T21:34:17.664739
263,6 days,0.16666666666666666,Discount,In Stock,2025-07-27T21:34:17.664858
264,1 day,1.0,Cashback,Out of Stock,2025-07-27T21:34:17.666289
265,4 days,0.25,Exchange Offer,Limited Stock,2025-07-27T21:34:17.666529
266,3 days,0.3333333333333333,Bank Offer,In Stock,2025-07-27T21:34:17.666678
267,3 days,0.3333333333333333,,Limited Stock,2025-07-27T21:34:17.666812
268,5 days,0.2,Cashback,In Stock,2025-07-27T21:34:17.666941
269,3 days,0.3333333333333333,,In Stock,2025-07-27T21:34:17.667067
270,7 days,0.14285714285714285,Discount,Out of Stock,2025-07-27T21:34:17.667195
271,5 days,0.2,Cashback,Out of Stock,2025-07-27T21:34:17.667317
272,6 days,0.16666666666666666,Bank Offer,Out of Stock,2025-07-27T21:34:17.667436
273,4 days,0.25,,Out of Stock,2025-07-27T21:34:17.667555
274,5 days,0.2,Discount,Limited Stock,2025-07-27T21:34:17.667676
275,6 days,0.16666666666666666,No Cost EMI,In Stock,2025-07-27T21:34:17.667965
276,4 days,0.25,,In Stock,2025-07-27T21:34:17.668232
277,4 days,0.25,Bank Offer,In Stock,2025-07-27T21:34:17.668375
278,2 days,0.5,Discount,Limited Stock,2025-07-27T21:34:17.668518
279,1 day,1.0,Bank Offer,In Stock,2025-07-27T21:34:17.668645
280,4 days,0.25,No Cost EMI,In Stock,2025-07-27T21:34:17.671260
281,4 days,0.25,Cashback,In Stock,2025-07-27T21:34:17.671475
282,6 days,0.16666666666666666,Discount,Out of Stock,2025-07-27T21:34:17.671639
283,2 days,0.5,,Limited Stock,2025-07-27T21:34:17.671785
284,4 days,0.25,Cashback,In Stock,2025-07-27T21:34:17.671923
285,3 days,0.3333333333333333,No Cost EMI,Out of Stock,2025-07-27T21:34:17.672061
286,3 days,0.3333333333333333,,Limited Stock,2025-07-27T21:34:17.672742
287,3 days,0.3333333333333333,Discount,Out of Stock,2025-07-27T21:34:17.672962
288,5 days,0.2,Exchange Offer,Limited Stock,2025-07-27T21:34:17.673111
289,6 days,0.16666666666666666,Bank Offer,In Stock,2025-07-27T21:34:17.673236
290,3 days,0.3333333333333333,Discount,Limited Stock,2025-07-27T21:34:17.673353
291,2 days,0.5,Discount,Limited Stock,2025-07-27T21:34:17.673468
292,3 days,0.3333333333333333,Discount,Limited Stock,2025-07-27T21:34:17.673586
293,3 days,0.3333333333333333,Cashback,Out of Stock,2025-07-27T21:34:17.673923
294,2 days,0.5,Exchange Offer,Limited Stock,2025-07-27T21:34:17.674096
295,6 days,0.16666666666666666,Bank Offer,In Stock,2025-07-27T21:34:17.674240
296,5 days,0.2,,Out of Stock,2025-07-27T21:34:17.674382
297,1 day,1.0,Exchange Offer,Out of Stock,2025-07-27T21:34:17.674516
298,2 days,0.5,Bank Offer,Out of Stock,2025-07-27T21:34:17.674654
299,1 day,1.0,No Cost EMI,Out of Stock,2025-07-27T21:34:17.674793
300,6 days,0.16666666666666666,Bank Offer,In Stock,2025-07-27T21:34:17.674929
301,6 days,0.16666666666666666,No Cost EMI,Limited Stock,2025-07-27T21:34:17.675062
302,4 days,0.25,Exchange Offer,In Stock,2025-07-27T21:34:17.675264
303,1 day,1.0,Discount,Out of Stock,2025-07-27T21:34:17.675405
304,5 days,0.2,Bank Offer,In Stock,2025-07-27T21:34:17.675556
305,3 days,0.3333333333333333,,Limited Stock,2025-07-27T21:34:17.676079
306,2 days,0.5,Exchange Offer,Limited Stock,2025-07-27T21:34:17.676337
307,1 day,1.0,Bank Offer,Out of Stock,2025-07-27T21:34:17.676533
308,3 days,0.3333333333333333,Cashback,Limited Stock,2025-07-27T21:34:17.676959
309,6 days,0.16666666666666666,Exchange Offer,Out of Stock,2025-07-27T21:34:17.677122
310,5 days,0.2,Cashback,Out of Stock,2025-07-27T21:34:17.677282
311,5 days,0.2,Discount,Limited Stock,2025-07-27T21:34:17.677422
312,6 days,0.16666666666666666,Bank Offer,In Stock,2025-07-27T21:34:17.677557
313,5 days,0.2,Bank Offer,In Stock,2025-07-27T21:34:17.677690
314,6 days,0.16666666666666666,Bank Offer,Out of Stock,2025-07-27T21:34:17.677836
315,2 days,0.5,Exchange Offer,Limited Stock,2025-07-27T21:34:17.677965
316,1 day,1.0,Bank Offer,Limited Stock,2025-07-27T21:34:17.678108
317,5 days,0.2,,Out of Stock,2025-07-27T21:34:17.678244
318,3 days,0.3333333333333333,Discount,Limited Stock,2025-07-27T21:34:17.678375
319,5 days,0.2,Exchange Offer,Limited Stock,2025-07-27T21:34:17.678503
320,7 days,0.14285714285714285,Discount,Limited Stock,2025-07-27T21:34:17.678790
321,4 days,0.25,Bank Offer,In Stock,2025-07-27T21:34:17.679074
322,1 day,1.0,Bank Offer,In Stock,2025-07-27T21:34:17.679210
323,1 day,1.0,Discount,In Stock,2025-07-27T21:34:17.679338
324,2 days,0.5,Bank Offer,Out of Stock,2025-07-27T21:34:17.679464
325,7 days,0.14285714285714285,No Cost EMI,Out of Stock,2025-07-27T21:34:17.679589
326,1 day,1.0,No Cost EMI,In Stock,2025-07-27T21:34:17.679713
327,5 days,0.2,Cashback,Out of Stock,2025-07-27T21:34:17.679836
328,6 days,0.16666666666666666,Cashback,Out of Stock,2025-07-27T21:34:17.679954
329,3 days,0.3333333333333333,Discount,In Stock,2025-07-27T21:34:17.680070
330,2 days,0.5,Discount,Out of Stock,2025-07-27T21:34:17.680278
331,4 days,0.25,Cashback,Limited Stock,2025-07-27T21:34:17.680470
332,4 days,0.25,Exchange Offer,Out of Stock,2025-07-27T21:34:17.680618
333,7 days,0.14285714285714285,Discount,Out of Stock,2025-07-27T21:34:17.680756
334,5 days,0.2,No Cost EMI,Limited Stock,2025-07-27T21:34:17.680890
335,7 days,0.14285714285714285,Bank Offer,In Stock,2025-07-27T21:34:17.681021
336,6 days,0.16666666666666666,Exchange Offer,Limited Stock,2025-07-27T21:34:17.681152
337,2 days,0.5,Cashback,Limited Stock,2025-07-27T21:34:17.681280
338,4 days,0.25,Cashback,Limited Stock,2025-07-27T21:34:17.681406
339,7 days,0.14285714285714285,Exchange Offer,Limited Stock,2025-07-27T21:34:17.681532
340,1 day,1.0,Discount,Out of Stock,2025-07-27T21:34:17.681659
341,6 days,0.16666666666666666,Exchange Offer,In Stock,2025-07-27T21:34:17.681784
342,1 day,1.0,Exchange Offer,Out of Stock,2025-07-27T21:34:17.681912
343,7 days,0.14285714285714285,,Out of Stock,2025-07-27T21:34:17.682035
344,6 days,0.16666666666666666,Cashback,In Stock,2025-07-27T21:34:17.682342
345,5 days,0.2,Discount,In Stock,2025-07-27T21:34:17.682483
346,4 days,0.25,Exchange Offer,In Stock,2025-07-27T21:34:17.682616
347,6 days,0.16666666666666666,No Cost EMI,In Stock,2025-07-27T21:34:17.682749
348,4 days,0.25,Exchange Offer,Limited Stock,2025-07-27T21:34:17.682881
349,2 days,0.5,No Cost EMI,Limited Stock,2025-07-27T21:34:17.683015
350,3 days,0.3333333333333333,Exchange Offer,In Stock,2025-07-27T21:34:17.683148
