product_id,title,brand,category,subcategory,description,specifications,price,color,is_f_assured,cod_available,return_policy,seller_name,seller_rating,image_url,tags
P10014,H&M Cotton Crew Neck,H&M,Fashion,Clothing,H&M Cotton Crew Neck - Build identify be area policy daughter real.,"RAM: 6GB, Connectivity: iOS 17",5637.31,Silver,False,True,7-day return,"Ramos, Collins and Hubbard",3.6,https://images.flipkart.com/products/P10014.jpg,"Waterproof, Best Seller, Wireless, HD"
P10015,"Samsung QLED 65""",Samsung,Electronics,TV,"Samsung QLED 65"" - Why hair career situation civil better receive air approach.","Camera: 256GB, Processor: iOS 17",67294.09,Gold,True,True,30-day return,"George, Espinoza and Clay",4.7,https://images.flipkart.com/products/P10015.jpg,"Wireless, Smart, Durable, Premium"
P10016,Samsung Galaxy S24,Samsung,Electronics,Smartphone,Samsung Galaxy S24 - Rise control need central spring out building as choice system medical.,"Storage: 8GB, OS: iOS 17",85169.8,Silver,True,True,30-day return,"Price, Wong and Ford",3.5,https://images.flipkart.com/products/P10016.jpg,"4K, Best Seller, Eco-Friendly"
P10017,boAt Nirvana 751ANC,boAt,Electronics,Headphones,boAt Nirvana 751ANC - Field letter design set huge.,"Camera: 5000mAh, Connectivity: iOS 17",8585.04,Green,True,True,7-day return,"Shaw, Wood and Fernandez",4.6,https://images.flipkart.com/products/P10017.jpg,"Smart, Lightweight"
P10018,IKEA MALM Bed Frame,IKEA,Home,Furniture,IKEA MALM Bed Frame - Expert most short here bring before skill girl.,"RAM: 6.5 inch, Processor: MediaTek",1899.33,White,True,False,7-day return,Hoover-Ryan,4.9,https://images.flipkart.com/products/P10018.jpg,"HD, Lightweight, Best Seller, Smart"
P10019,Oppo A58,Oppo,Electronics,Smartphone,Oppo A58 - Rich three provide method laugh energy quickly wide benefit.,"Camera: 6.5 inch, Connectivity: Android 13",56604.73,Red,False,True,15-day return,Austin LLC,4.1,https://images.flipkart.com/products/P10019.jpg,"Durable, 4K, Eco-Friendly, Waterproof"
P10020,Vivo V29,Vivo,Electronics,Smartphone,Vivo V29 - Concern notice manage she source future everyone paper animal institution.,"Battery: 6.5 inch, Connectivity: Snapdragon",11809.56,Red,False,True,15-day return,"Walsh, Miller and Kirby",4.8,https://images.flipkart.com/products/P10020.jpg,"Waterproof, 4K"
P10021,Asus TUF Gaming A15,Asus,Electronics,Laptop,Asus TUF Gaming A15 - Involve information board church piece.,"Camera: 5000mAh, OS: 5G",197255.06,Rose Gold,True,False,7-day return,Taylor LLC,4.9,https://images.flipkart.com/products/P10021.jpg,"4K, Wireless"
P10022,Realme GT Neo 5,Realme,Electronics,Smartphone,Realme GT Neo 5 - Natural thing establish her fire person ready play.,"Storage: 128GB, OS: 5G",18952.74,Gray,True,False,30-day return,Frost and Sons,3.9,https://images.flipkart.com/products/P10022.jpg,"Wireless, Durable"
P10023,Uniqlo Ultra Stretch Jeans,Uniqlo,Fashion,Clothing,Uniqlo Ultra Stretch Jeans - Himself several stock there affect including pretty by art.,"RAM: 6GB, OS: MediaTek",9738.14,Green,True,False,30-day return,Diaz-Griffin,4.3,https://images.flipkart.com/products/P10023.jpg,"Wireless, Trending"
P10024,Lenovo ThinkBook 15,Lenovo,Electronics,Laptop,Lenovo ThinkBook 15 - Several here but heavy find five upon technology report west.,"RAM: 48MP, OS: 5G",123929.27,Silver,True,True,15-day return,Walton and Sons,4.0,https://images.flipkart.com/products/P10024.jpg,"Waterproof, HD"
P10025,"MI X Series 55""",MI,Electronics,TV,"MI X Series 55"" - Forward build computer commercial detail last key southern by red.","Display: 48MP, Connectivity: iOS 17",292543.55,Blue,True,True,10-day return,"Drake, Spencer and Nguyen",4.8,https://images.flipkart.com/products/P10025.jpg,"Fast Charging, Trending"
P10026,Adidas Gazelle,Adidas,Fashion,Shoes,Adidas Gazelle - Approach lead activity crime wait she west consumer challenge compare.,"Storage: 128GB, Processor: WiFi 6",2067.39,Black,False,True,10-day return,Norris-Reyes,4.7,https://images.flipkart.com/products/P10026.jpg,"Waterproof, 4K, HD"
P10027,"Sony Bravia X74K 55""",Sony,Electronics,TV,"Sony Bravia X74K 55"" - Of sound read also sign the.","Storage: 256GB, OS: Android 13",261340.59,Green,False,False,15-day return,Gonzales Group,4.9,https://images.flipkart.com/products/P10027.jpg,"4K, Fast Charging"
P10028,Nivea Sun Protect Cream,Nivea,Beauty,Skincare,Nivea Sun Protect Cream - Actually his simply eat behind.,"RAM: 6GB, Connectivity: iOS 17",8773.04,Gray,False,True,30-day return,Gilbert PLC,4.8,https://images.flipkart.com/products/P10028.jpg,"4K, Smart"
P10029,Uniqlo Heattech T-Shirt,Uniqlo,Fashion,Clothing,Uniqlo Heattech T-Shirt - Red character know order cup.,"Camera: 48MP, Connectivity: WiFi 6",10931.73,Red,False,False,7-day return,Wilson-Webb,4.9,https://images.flipkart.com/products/P10029.jpg,"Lightweight, Waterproof, Durable"
P10030,Dell Vostro 14,Dell,Electronics,Laptop,Dell Vostro 14 - Data yourself last become better production any local hospital.,"Camera: 128GB, Connectivity: iOS 17",85451.09,Green,True,True,30-day return,Jackson-Sanders,4.5,https://images.flipkart.com/products/P10030.jpg,"Durable, Trending, Fast Charging"
P10031,Mamaearth Onion Shampoo,Mamaearth,Beauty,Skincare,Mamaearth Onion Shampoo - Use least thousand spend point.,"Battery: 6.5 inch, Processor: Android 13",7315.46,Silver,False,False,30-day return,Burgess-Hernandez,4.2,https://images.flipkart.com/products/P10031.jpg,"Premium, Eco-Friendly"
P10032,Asus VivoBook 15,Asus,Electronics,Laptop,Asus VivoBook 15 - New fire laugh hit for attorney thing.,"Display: 6.5 inch, Connectivity: WiFi 6",135274.34,White,True,False,10-day return,Anderson-Bryant,4.7,https://images.flipkart.com/products/P10032.jpg,"Smart, New Launch"
P10033,"MI P1 65""",MI,Electronics,TV,"MI P1 65"" - Why green consumer scientist able certainly color bit.","Camera: 48MP, Processor: iOS 17",133115.69,Purple,True,False,30-day return,"Garrett, White and Blackwell",4.1,https://images.flipkart.com/products/P10033.jpg,"Durable, Trending"
P10034,Samsung Galaxy S24,Samsung,Electronics,Smartphone,Samsung Galaxy S24 - Ever do wait so letter.,"Battery: 8GB, Processor: WiFi 6",89744.72,Black,True,True,30-day return,Castillo-Le,3.7,https://images.flipkart.com/products/P10034.jpg,"Durable, Premium, Best Seller"
P10035,L'Oreal True Match Foundation,L'Oreal,Beauty,Cosmetics,L'Oreal True Match Foundation - Race feeling indeed they letter should fine meet recognize arm.,"Battery: 6.5 inch, Connectivity: 5G",10783.17,Rose Gold,False,True,30-day return,Wagner-Gibson,4.2,https://images.flipkart.com/products/P10035.jpg,"New Launch, Durable"
P10036,JBL Quantum 100,JBL,Electronics,Headphones,JBL Quantum 100 - Crime really ever human decision hot send education green.,"Storage: 128GB, OS: Snapdragon",35963.7,Red,False,False,15-day return,"Rodriguez, Deleon and Strong",4.8,https://images.flipkart.com/products/P10036.jpg,"Fast Charging, New Launch"
P10037,"Sony Bravia X90L 65""",Sony,Electronics,TV,"Sony Bravia X90L 65"" - Pick parent discussion speech accept window follow.","Storage: 5000mAh, Processor: Snapdragon",133237.35,Gray,False,False,7-day return,Garcia PLC,3.8,https://images.flipkart.com/products/P10037.jpg,"Stylish, Best Seller, Lightweight"
P10038,Apple iPhone 15 Pro,Apple,Electronics,Smartphone,Apple iPhone 15 Pro - Less pull natural push former of room reduce.,"Battery: 256GB, Processor: Android 13",62326.58,Silver,False,True,30-day return,Henderson PLC,3.8,https://images.flipkart.com/products/P10038.jpg,"Eco-Friendly, Smart, Stylish"
P10039,Adidas Gazelle,Adidas,Fashion,Shoes,Adidas Gazelle - Degree forward avoid author four already explain common peace exactly almost.,"Storage: 48MP, OS: MediaTek",14720.47,Rose Gold,True,False,7-day return,Ward LLC,3.6,https://images.flipkart.com/products/P10039.jpg,"Fast Charging, Eco-Friendly, New Launch"
P10040,Xiaomi Redmi 12,Xiaomi,Electronics,Smartphone,Xiaomi Redmi 12 - Again court gun back why require vote trouble.,"Battery: 128GB, Processor: iOS 17",24995.98,Silver,False,False,15-day return,Hill-Thompson,4.8,https://images.flipkart.com/products/P10040.jpg,"Smart, Trending, Premium"
P10041,Xiaomi Redmi 12,Xiaomi,Electronics,Smartphone,Xiaomi Redmi 12 - Know small occur get quickly.,"Storage: 5000mAh, Processor: WiFi 6",10093.42,Black,True,True,7-day return,Roberts-Perez,4.4,https://images.flipkart.com/products/P10041.jpg,"Fast Charging, Eco-Friendly"
P10042,Dell G15 Gaming,Dell,Electronics,Laptop,Dell G15 Gaming - Audience boy possible professor late.,"Storage: 256GB, Connectivity: Android 13",160372.68,Blue,True,True,15-day return,Miller-Curtis,3.7,https://images.flipkart.com/products/P10042.jpg,"4K, Lightweight"
P10043,Bata Marie Claire,Bata,Fashion,Shoes,Bata Marie Claire - Mind animal be billion effort news with knowledge true nothing.,"Storage: 6GB, Connectivity: WiFi 6",12543.29,Red,True,False,7-day return,Thomas-Williams,4.7,https://images.flipkart.com/products/P10043.jpg,"Best Seller, Smart, Waterproof, Premium"
P10044,Uniqlo UV Protection Polo,Uniqlo,Fashion,Clothing,Uniqlo UV Protection Polo - Per dream admit ability time.,"Display: 6GB, Connectivity: WiFi 6",5447.85,Silver,False,True,30-day return,"Henderson, Gallegos and Moss",4.9,https://images.flipkart.com/products/P10044.jpg,"New Launch, Eco-Friendly, Trending, Fast Charging"
P10045,Uniqlo Heattech T-Shirt,Uniqlo,Fashion,Clothing,Uniqlo Heattech T-Shirt - Others agree kind consider set.,"Camera: 5000mAh, OS: 5G",12218.89,Rose Gold,False,False,30-day return,"Jackson, Dyer and Fox",4.7,https://images.flipkart.com/products/P10045.jpg,"4K, Waterproof, HD, Wireless"
P10046,JBL Quantum 100,JBL,Electronics,Headphones,JBL Quantum 100 - Trip process authority sell society position.,"Storage: 48MP, OS: 5G",30906.25,Silver,False,True,30-day return,Williams PLC,4.8,https://images.flipkart.com/products/P10046.jpg,"Eco-Friendly, HD"
P10047,Puma Cali Sport,Puma,Fashion,Shoes,Puma Cali Sport - Trial condition report want our arrive order major.,"Display: 128GB, Connectivity: WiFi 6",13261.56,Rose Gold,True,True,7-day return,Snow-Robbins,3.9,https://images.flipkart.com/products/P10047.jpg,"Eco-Friendly, Premium, HD"
P10048,IKEA HEMNES Bookcase,IKEA,Home,Furniture,IKEA HEMNES Bookcase - Station yet find camera around political parent majority car.,"Battery: 48MP, Processor: Snapdragon",7497.04,Silver,True,False,15-day return,"Costa, Sheppard and Lee",4.2,https://images.flipkart.com/products/P10048.jpg,"Waterproof, Stylish, Trending, Premium"
P10049,Adidas Superstar,Adidas,Fashion,Shoes,Adidas Superstar - However feeling national write ground.,"Battery: 128GB, OS: Android 13",3842.8,Red,False,True,10-day return,"Gonzalez, Kim and Maldonado",3.8,https://images.flipkart.com/products/P10049.jpg,"Eco-Friendly, 4K, Trending, Lightweight"
P10050,Hawkins Miss Mary Cooker,Hawkins,Home,Kitchen,Hawkins Miss Mary Cooker - Under car someone federal see memory.,"Display: 6GB, Processor: Android 13",5841.58,Blue,False,True,10-day return,Lee Ltd,3.9,https://images.flipkart.com/products/P10050.jpg,"Premium, 4K"
P10051,HP Omen 16,HP,Electronics,Laptop,HP Omen 16 - Walk way baby wait three fast middle.,"RAM: 48MP, Processor: 5G",78337.69,Gold,False,False,10-day return,Morrow-Powell,4.9,https://images.flipkart.com/products/P10051.jpg,"New Launch, Eco-Friendly, Wireless"
P10052,Vivo T2,Vivo,Electronics,Smartphone,Vivo T2 - Sit give foreign there building tell accept.,"Battery: 6GB, Connectivity: WiFi 6",43695.45,Blue,True,False,7-day return,Bell-Smith,5.0,https://images.flipkart.com/products/P10052.jpg,"Premium, Best Seller"
P10053,H&M Oversized Hoodie,H&M,Fashion,Clothing,H&M Oversized Hoodie - Want two modern item thing college moment government.,"Camera: 48MP, Connectivity: MediaTek",11747.56,Silver,False,False,15-day return,"Evans, Lewis and Turner",4.8,https://images.flipkart.com/products/P10053.jpg,"4K, Lightweight, Best Seller"
P10054,Xiaomi Redmi Note 12,Xiaomi,Electronics,Smartphone,Xiaomi Redmi Note 12 - Push operation leader maintain a rich nothing forget eye consider.,"RAM: 48MP, Processor: WiFi 6",18973.31,White,True,True,10-day return,"Richard, Bautista and House",4.3,https://images.flipkart.com/products/P10054.jpg,"Smart, Stylish"
P10055,Levi's Trucker Jacket,Levi's,Fashion,Clothing,Levi's Trucker Jacket - Can step provide two avoid turn report together professor a.,"Camera: 256GB, OS: Snapdragon",3856.41,Green,False,True,10-day return,"Baxter, Parker and Hogan",4.9,https://images.flipkart.com/products/P10055.jpg,"Lightweight, Durable, HD, Stylish"
P10056,Dell G15 Gaming,Dell,Electronics,Laptop,Dell G15 Gaming - Someone plant boy claim but factor often by.,"Storage: 5000mAh, Processor: Android 13",170527.3,White,True,True,15-day return,"Love, Perkins and Griffin",4.4,https://images.flipkart.com/products/P10056.jpg,"4K, Eco-Friendly, Wireless, Best Seller"
P10057,Noise Two Wireless,Noise,Electronics,Headphones,Noise Two Wireless - Anything debate soon season chair whose despite music laugh.,"Battery: 128GB, Connectivity: 5G",25195.97,White,True,False,15-day return,"French, Martinez and Stone",4.4,https://images.flipkart.com/products/P10057.jpg,"Wireless, HD"
P10058,Mamaearth Rice Face Wash,Mamaearth,Beauty,Skincare,Mamaearth Rice Face Wash - Vote less fund course less near development language film.,"RAM: 48MP, Connectivity: Android 13",14490.93,Blue,False,False,15-day return,"Harris, Collins and Chapman",3.8,https://images.flipkart.com/products/P10058.jpg,"Stylish, Durable, Eco-Friendly, Wireless"
P10059,IKEA POÄNG Armchair,IKEA,Home,Furniture,IKEA POÄNG Armchair - Popular want role newspaper age player fund if.,"Battery: 128GB, OS: WiFi 6",2794.08,Blue,False,False,30-day return,"Williams, Young and Jones",3.9,https://images.flipkart.com/products/P10059.jpg,"New Launch, Best Seller, Premium"
P10060,OnePlus OnePlus Nord CE 3,OnePlus,Electronics,Smartphone,OnePlus OnePlus Nord CE 3 - Until list ahead likely give throughout.,"RAM: 128GB, OS: Android 13",14027.92,Silver,True,False,30-day return,Freeman Ltd,3.6,https://images.flipkart.com/products/P10060.jpg,"Waterproof, Lightweight, Eco-Friendly, Durable"
P10061,Levi's 511 Slim Jeans,Levi's,Fashion,Clothing,Levi's 511 Slim Jeans - Offer measure simply look exactly few place protect last decade.,"Storage: 128GB, Connectivity: MediaTek",13951.26,Gold,False,True,7-day return,"Sherman, Green and Davis",5.0,https://images.flipkart.com/products/P10061.jpg,"Best Seller, HD, Trending, Fast Charging"
P10062,Noise Two Wireless,Noise,Electronics,Headphones,Noise Two Wireless - Bag car effect half bit against four among few.,"RAM: 6.5 inch, OS: Snapdragon",12010.33,White,False,True,10-day return,"Johnson, Burns and Mitchell",4.2,https://images.flipkart.com/products/P10062.jpg,"4K, Premium, Trending, New Launch"
P10063,H&M Skinny Jeans,H&M,Fashion,Clothing,H&M Skinny Jeans - Week everyone administration since Democrat.,"Battery: 8GB, OS: 5G",2597.31,Red,True,True,15-day return,"Wade, Peterson and Yates",4.7,https://images.flipkart.com/products/P10063.jpg,"Waterproof, Best Seller, Premium"
P10064,JBL Tune 770NC,JBL,Electronics,Headphones,JBL Tune 770NC - Life skill impact politics.,"Display: 5000mAh, OS: 5G",29416.25,Gold,True,False,30-day return,Rodriguez-Thomas,4.0,https://images.flipkart.com/products/P10064.jpg,"Best Seller, Premium, Stylish, Eco-Friendly"
P10065,Nike Revolution 6,Nike,Fashion,Shoes,Nike Revolution 6 - Walk remain miss rather much kid rule.,"Storage: 6.5 inch, OS: MediaTek",12912.19,Silver,True,False,30-day return,Lopez-White,4.6,https://images.flipkart.com/products/P10065.jpg,"Stylish, Durable, Best Seller"
P10066,Lenovo Yoga 7i,Lenovo,Electronics,Laptop,Lenovo Yoga 7i - Face until down order.,"RAM: 8GB, Connectivity: 5G",86439.1,White,False,True,30-day return,Patterson-Murphy,3.5,https://images.flipkart.com/products/P10066.jpg,"Stylish, Durable"
P10067,Lenovo ThinkPad E14,Lenovo,Electronics,Laptop,Lenovo ThinkPad E14 - Manage her fire specific team start either.,"Battery: 48MP, OS: Android 13",135954.1,Silver,True,False,30-day return,Vazquez Inc,4.9,https://images.flipkart.com/products/P10067.jpg,"Trending, Best Seller, Eco-Friendly, Premium"
P10068,OnePlus OnePlus 11,OnePlus,Electronics,Smartphone,OnePlus OnePlus 11 - Out position however include campaign beyond exist paper newspaper lawyer.,"Storage: 5000mAh, Connectivity: Android 13",59866.15,White,False,True,7-day return,"Price, Armstrong and Scott",4.2,https://images.flipkart.com/products/P10068.jpg,"4K, Smart, Best Seller, Waterproof"
P10069,Xiaomi Redmi 12,Xiaomi,Electronics,Smartphone,Xiaomi Redmi 12 - Majority institution common up address them.,"Display: 128GB, OS: MediaTek",20698.27,Silver,True,True,10-day return,"Cochran, Williams and Vasquez",3.6,https://images.flipkart.com/products/P10069.jpg,"Lightweight, Durable, HD"
P10070,Godrej Study Table,Godrej,Home,Furniture,Godrej Study Table - Bring establish international relate none.,"Storage: 256GB, Connectivity: Android 13",11597.35,Black,False,False,10-day return,Cook-Aguilar,3.6,https://images.flipkart.com/products/P10070.jpg,"Lightweight, 4K, Durable"
P10071,Uniqlo UV Protection Polo,Uniqlo,Fashion,Clothing,Uniqlo UV Protection Polo - Mrs whose nice return paper organization best mean both.,"Display: 256GB, OS: MediaTek",14990.92,Gold,True,True,30-day return,"West, Parsons and Williams",4.4,https://images.flipkart.com/products/P10071.jpg,"4K, Trending, New Launch, Smart"
P10072,Zara Hoodie,Zara,Fashion,Clothing,Zara Hoodie - Wife chair and section own action question.,"RAM: 6.5 inch, Connectivity: WiFi 6",14617.24,Purple,False,False,10-day return,Burnett-Hopkins,4.4,https://images.flipkart.com/products/P10072.jpg,"HD, Durable, New Launch"
P10073,Sony WF-1000XM4,Sony,Electronics,Headphones,Sony WF-1000XM4 - House production such ever different factor lead former.,"RAM: 5000mAh, Connectivity: Snapdragon",16137.71,Gold,True,False,10-day return,Hernandez Group,3.6,https://images.flipkart.com/products/P10073.jpg,"Waterproof, Trending, Stylish"
P10074,Acer Nitro 5,Acer,Electronics,Laptop,Acer Nitro 5 - Put service front usually way economy house develop family quality.,"Storage: 48MP, Connectivity: Android 13",120244.9,Green,True,False,30-day return,Wyatt PLC,5.0,https://images.flipkart.com/products/P10074.jpg,"Trending, Waterproof, Wireless"
P10075,Allen Solly Formal Shirt,Allen Solly,Fashion,Clothing,Allen Solly Formal Shirt - Include order arrive bag money Mr several everyone chance.,"Storage: 48MP, Processor: WiFi 6",11001.14,Silver,False,True,30-day return,Parker LLC,3.5,https://images.flipkart.com/products/P10075.jpg,"Wireless, Eco-Friendly, Waterproof, Durable"
P10076,Sony WF-C700N,Sony,Electronics,Headphones,Sony WF-C700N - Machine store born economy thought.,"Display: 6GB, Connectivity: MediaTek",24102.37,Purple,False,True,7-day return,Thompson Group,4.5,https://images.flipkart.com/products/P10076.jpg,"Trending, 4K, Durable"
P10077,H&M Cotton Crew Neck,H&M,Fashion,Clothing,H&M Cotton Crew Neck - Up run try including who heavy door someone.,"Storage: 6GB, Processor: Android 13",14940.95,White,True,True,10-day return,"Ray, Thomas and Russo",4.1,https://images.flipkart.com/products/P10077.jpg,"Durable, Trending, Best Seller"
P10078,Pigeon Special Cooker,Pigeon,Home,Kitchen,Pigeon Special Cooker - State particular white clear music movement task.,"Camera: 5000mAh, Connectivity: MediaTek",22158.26,White,False,False,15-day return,"Miller, Fisher and Higgins",3.5,https://images.flipkart.com/products/P10078.jpg,"HD, Eco-Friendly, Best Seller"
P10079,"MI A Series 43""",MI,Electronics,TV,"MI A Series 43"" - Civil enjoy defense performance radio laugh.","RAM: 5000mAh, OS: 5G",271983.42,Gray,True,False,15-day return,"Logan, Walker and Powell",3.8,https://images.flipkart.com/products/P10079.jpg,"New Launch, Eco-Friendly"
P10080,Oppo A78,Oppo,Electronics,Smartphone,Oppo A78 - Dark lawyer physical prove.,"Camera: 6GB, Processor: Android 13",20665.58,Blue,True,True,10-day return,"Estrada, Webb and Whitehead",4.4,https://images.flipkart.com/products/P10080.jpg,"Waterproof, Best Seller"
P10081,Lenovo ThinkBook 15,Lenovo,Electronics,Laptop,Lenovo ThinkBook 15 - Conference staff against hold best.,"RAM: 128GB, Processor: MediaTek",121836.63,Blue,True,True,10-day return,"Kramer, Sanchez and Barker",3.5,https://images.flipkart.com/products/P10081.jpg,"Lightweight, Waterproof"
P10082,Apple iPhone 14,Apple,Electronics,Smartphone,Apple iPhone 14 - Bed put see return from minute.,"Display: 6GB, Processor: WiFi 6",77620.07,White,True,False,30-day return,Ross Ltd,4.7,https://images.flipkart.com/products/P10082.jpg,"Lightweight, Wireless, Eco-Friendly, Premium"
P10083,Sony Bravia A80L OLED,Sony,Electronics,TV,Sony Bravia A80L OLED - Country look benefit American statement edge level happen hard.,"RAM: 5000mAh, Connectivity: 5G",100964.64,Black,True,False,30-day return,Gordon and Sons,4.1,https://images.flipkart.com/products/P10083.jpg,"Eco-Friendly, Trending"
P10084,Levi's 511 Slim Jeans,Levi's,Fashion,Clothing,Levi's 511 Slim Jeans - Newspaper outside civil tend impact street.,"RAM: 128GB, Connectivity: MediaTek",1452.39,Green,False,False,15-day return,Garza-Harris,4.2,https://images.flipkart.com/products/P10084.jpg,"Stylish, Wireless, Trending, Best Seller"
P10085,Lakme Eyeconic Kajal,Lakme,Beauty,Cosmetics,Lakme Eyeconic Kajal - Herself still man TV federal eight.,"Storage: 256GB, OS: MediaTek",10462.58,Gold,False,False,7-day return,Caldwell-Perez,4.0,https://images.flipkart.com/products/P10085.jpg,"Durable, 4K, Waterproof"
P10086,Lenovo Yoga 7i,Lenovo,Electronics,Laptop,Lenovo Yoga 7i - Want PM project easy compare choice response force shoulder.,"RAM: 6GB, Processor: Snapdragon",103419.01,Gray,True,True,15-day return,"Barrett, Nielsen and Davis",4.5,https://images.flipkart.com/products/P10086.jpg,"Waterproof, Durable, Stylish"
P10087,Xiaomi Redmi 12,Xiaomi,Electronics,Smartphone,Xiaomi Redmi 12 - Talk box key his able glass strategy once me probably trouble.,"Camera: 128GB, OS: Snapdragon",38051.76,Red,True,False,10-day return,"Simpson, Myers and Martin",4.8,https://images.flipkart.com/products/P10087.jpg,"New Launch, Premium, Waterproof"
P10088,Dell Vostro 14,Dell,Electronics,Laptop,Dell Vostro 14 - Account writer machine point everybody standard traditional rich fall everything.,"Camera: 8GB, OS: 5G",195672.92,Purple,True,False,7-day return,Arnold-Rodgers,3.8,https://images.flipkart.com/products/P10088.jpg,"Best Seller, 4K, Waterproof, Trending"
P10089,Samsung Galaxy A54,Samsung,Electronics,Smartphone,Samsung Galaxy A54 - Include keep north yeah west act while start how.,"Storage: 6.5 inch, Connectivity: iOS 17",33698.18,Black,True,True,30-day return,Armstrong-Mcdonald,4.1,https://images.flipkart.com/products/P10089.jpg,"Fast Charging, Waterproof, 4K"
P10090,Nike Dunk Low,Nike,Fashion,Shoes,Nike Dunk Low - Stage these pass wish usually party money.,"Camera: 6GB, Processor: MediaTek",2782.44,Purple,True,True,15-day return,Newton-Moore,4.2,https://images.flipkart.com/products/P10090.jpg,"Eco-Friendly, Lightweight, New Launch"
P10091,H&M Skinny Jeans,H&M,Fashion,Clothing,H&M Skinny Jeans - Long their option official buy night people likely over.,"Storage: 48MP, Connectivity: Snapdragon",5505.01,White,False,False,15-day return,"Barnes, Guerrero and Curtis",3.6,https://images.flipkart.com/products/P10091.jpg,"Lightweight, Smart, Best Seller"
