session_id,timestamp,query,clicked_product_id,purchased,location,event
S100042,2025-07-26 16:24:06,ikea,,False,Hyderabad,add_to_cart
S100042,2025-07-26 16:20:06,asuss,,True,Pune,click
S100043,2025-07-01 05:23:06,wallet,P14328,False,Ahmedabad,search
S100043,2025-07-01 05:25:06,bluetooth headphones,,True,Hyderabad,click
S100044,2025-07-02 11:21:06,soy wh-1000xm5,,False,Ahmedabad,add_to_cart
S100044,2025-07-02 11:16:06,ssd laptop,P12994,False,Mumbai,search
S100044,2025-07-02 11:15:06,acer aspire,P13029,False,Hyderabad,click
S100044,2025-07-02 11:10:06,chargr,P11670,False,Bangalore,purchase
S100045,2025-07-19 10:57:06,macbook air,P10679,False,Delhi,compare
S100046,2025-07-08 05:10:06,asus viobook,P12189,False,Bangalore,add_to_cart
S100046,2025-07-08 05:13:06,oneplus buds,,False,Hyderabad,search
S100046,2025-07-08 05:12:06,lenovo thnkpad,,True,Pune,click
S100047,2025-07-09 10:34:06,65 inch tv,P10002,True,Kolkata,view_details
S100048,2025-06-29 02:04:06,55 inch tv,P10183,False,Pune,compare
S100048,2025-06-29 02:17:06,watch between 10000 and 20000,,True,Delhi,click
S100049,2025-07-20 16:41:06,phone above 10000,,False,Bangalore,purchase
S100049,2025-07-20 16:36:06,acer aspire,,False,Delhi,add_to_cart
S100049,2025-07-20 16:39:06,iphone 13,P13389,False,Chennai,search
S100049,2025-07-20 16:43:06,55 inch tv,P14212,False,Bangalore,click
S100049,2025-07-20 16:33:06,gamng laptop,,True,Chennai,click
S100050,2025-07-13 10:02:06,snkrs below 5000,P14051,False,Mumbai,compare
S100050,2025-07-13 10:13:06,straight fit jeans,P11239,False,Lucknow,view_details
S100050,2025-07-13 10:01:06,watch undr 10000,P10457,False,Delhi,search
S100050,2025-07-13 09:48:06,xiaomi redmi note 13,P13256,False,Mumbai,add_to_cart
S100050,2025-07-13 09:56:06,hdphons under 15000,P14297,False,Jaipur,view_details
S100050,2025-07-13 09:54:06,nike,,False,Pune,add_to_cart
S100050,2025-07-13 10:06:06,shoes below 20000,P11384,False,Delhi,click
S100050,2025-07-13 09:48:06,shoes above 10000,P10094,False,Lucknow,click
S100051,2025-07-13 21:40:06,noise cancelling headphones,P12415,False,Bangalore,compare
S100052,2025-07-25 05:04:06,boat airdopes,P10240,False,Jaipur,click
S100052,2025-07-25 05:20:06,soney,,True,Jaipur,click
S100053,2025-07-04 00:15:06,watch undr 20000,,False,Chennai,add_to_cart
S100053,2025-07-04 00:32:06,mous,P14724,False,Lucknow,search
S100053,2025-07-04 00:15:06,noise cancelling headphones,P13154,False,Chennai,search
S100053,2025-07-04 00:35:06,iphone 15,P10318,True,Bangalore,wishlist
S100054,2025-07-02 15:58:06,blutooth headphones,P14348,False,Chennai,search
S100054,2025-07-02 16:11:06,asuss,P12365,False,Mumbai,click
S100054,2025-07-02 15:44:06,watch,P12863,False,Delhi,search
S100054,2025-07-02 15:52:06,smartphone,P13958,False,Ahmedabad,click
S100055,2025-07-23 04:51:06,lptop between 10000 and 20000,P10530,True,Bangalore,search
S100056,2025-07-18 22:29:06,bg,P11539,True,Hyderabad,add_to_cart
S100057,2025-07-01 11:12:06,sneakers between 10000 and 20000,,False,Ahmedabad,search
S100057,2025-07-01 11:20:06,jeans,,False,Mumbai,search
S100057,2025-07-01 11:28:06,gaming headphones,,False,Delhi,add_to_cart
S100057,2025-07-01 11:21:06,prestig,P13951,False,Lucknow,click
S100057,2025-07-01 11:32:06,gaming headphones,,True,Pune,add_to_cart
S100058,2025-07-21 05:47:06,sony bravia,P13801,False,Ahmedabad,add_to_cart
S100058,2025-07-21 05:54:06,gaming mouse,P12972,False,Mumbai,view_details
S100058,2025-07-21 05:37:06,adiads ultraboost,P11907,False,Lucknow,click
S100058,2025-07-21 05:28:06,realme watch,P10024,True,Pune,search
S100059,2025-07-07 12:19:06,garmin foreruner,P13751,True,Delhi,wishlist
S100060,2025-07-09 11:47:06,running shoes,,False,Hyderabad,add_to_cart
S100060,2025-07-09 11:57:06,earbuds under 15000,,False,Jaipur,search
S100060,2025-07-09 11:51:06,waterproof phone,P11247,True,Pune,click
S100061,2025-07-27 05:52:06,wach,P14850,True,Lucknow,search
S100062,2025-07-25 14:54:06,realme 11 pro,P14526,False,Mumbai,add_to_cart
S100062,2025-07-25 14:46:06,4k tv,P13229,False,Pune,wishlist
S100062,2025-07-25 14:47:06,apple watch,,False,Ahmedabad,click
S100062,2025-07-25 14:42:06,samsung galaxy s24,,True,Delhi,search
S100063,2025-07-08 08:18:06,ikia,P13451,False,Ahmedabad,wishlist
S100063,2025-07-08 08:07:06,tv between 10000 and 20000,P11873,False,Bangalore,compare
S100063,2025-07-08 07:59:06,noise colorfit,P11192,True,Hyderabad,add_to_cart
S100064,2025-06-30 02:13:06,earbuds under 30000,P12376,True,Kolkata,add_to_cart
S100065,2025-07-22 23:38:06,headphones under 5000,,False,Mumbai,purchase
S100065,2025-07-22 23:42:06,dell xps 13,,False,Ahmedabad,search
S100065,2025-07-22 23:31:06,macbook air,P12514,False,Pune,search
S100066,2025-06-29 10:43:06,sony bravia,P13089,False,Mumbai,add_to_cart
S100066,2025-06-29 10:48:06,rbuds under 5000,P10045,False,Pune,purchase
S100066,2025-06-29 10:41:06,ssd laptop,P11795,False,Lucknow,click
S100066,2025-06-29 11:02:06,ssd laptop,P13891,False,Bangalore,view_details
S100067,2025-07-08 16:54:06,camra,,False,Jaipur,wishlist
S100068,2025-07-08 08:25:06,hm,,False,Delhi,search
S100068,2025-07-08 08:45:06,realme 11 pro,P12102,True,Ahmedabad,search
S100069,2025-07-01 22:16:06,5g smartphone,,True,Chennai,search
S100070,2025-06-28 06:34:06,hp victus,P14080,False,Delhi,add_to_cart
S100070,2025-06-28 06:56:06,lnovo thinkpad,P13663,False,Ahmedabad,search
S100071,2025-07-05 01:26:06,headphones above 10000,,False,Pune,click
S100072,2025-07-09 16:13:06,realme watch,P12349,False,Chennai,click
S100073,2025-07-06 22:26:06,casual shoes,P12705,False,Hyderabad,compare
S100073,2025-07-06 22:09:06,snkrs below 5000,P10519,False,Bangalore,view_details
S100073,2025-07-06 22:21:06,dell xps 13,P12177,False,Jaipur,click
S100074,2025-07-11 10:12:06,lenvo,P10538,False,Delhi,search
S100074,2025-07-11 09:59:06,dell xps 13,,True,Pune,purchase
S100075,2025-07-03 16:25:06,samsung glaaxy bus,P13452,False,Jaipur,click
S100075,2025-07-03 16:28:06,xiaomi redmi note 13,P12856,False,Hyderabad,add_to_cart
S100075,2025-07-03 16:15:06,mobile belo 5000,,False,Mumbai,purchase
S100075,2025-07-03 16:15:06,black jeans,,True,Hyderabad,add_to_cart
S100076,2025-06-27 23:41:06,lenovo,P11937,False,Pune,wishlist
S100076,2025-06-27 23:52:06,notbook,P12506,True,Hyderabad,click
S100077,2025-07-19 23:18:06,gaming headphones,P13322,False,Lucknow,search
S100077,2025-07-19 23:01:06,acer aspire,P10273,False,Jaipur,search
S100077,2025-07-19 22:59:06,sneakrs,P13322,False,Ahmedabad,search
S100077,2025-07-19 23:05:06,shoes undr 50000,P11867,False,Bangalore,add_to_cart
S100077,2025-07-19 23:24:06,notebook,P12266,False,Delhi,search
S100077,2025-07-19 23:01:06,shoes under 20000,P12067,False,Jaipur,wishlist
S100077,2025-07-19 23:03:06,phone above 10000,P11242,False,Ahmedabad,search
S100077,2025-07-19 23:20:06,blutooth headphones,P12153,False,Hyderabad,add_to_cart
S100077,2025-07-19 23:04:06,noise colorfit,P12820,True,Hyderabad,wishlist
S100078,2025-07-16 06:24:06,televisn,P13280,False,Kolkata,add_to_cart
S100078,2025-07-16 06:08:06,airpods pro,P10984,False,Hyderabad,add_to_cart
S100078,2025-07-16 06:11:06,smartwach,P13399,False,Lucknow,click
S100078,2025-07-16 06:10:06,mobile undr 15000,P11864,True,Hyderabad,add_to_cart
S100079,2025-07-20 14:56:06,watch undr 15000,,True,Chennai,compare
S100080,2025-07-22 06:03:06,earbuds above 10000,,False,Ahmedabad,search
S100080,2025-07-22 05:58:06,oneplus nord,P11055,False,Ahmedabad,search
S100080,2025-07-22 05:51:06,65 inch tv,P12625,False,Bangalore,add_to_cart
S100080,2025-07-22 05:38:06,ssd laptop,,False,Jaipur,search
S100080,2025-07-22 06:02:06,computer under 30000,,False,Mumbai,click
S100080,2025-07-22 05:52:06,earbuds above 20000,P12199,False,Pune,add_to_cart
S100080,2025-07-22 05:52:06,casual shoes,,False,Kolkata,click
S100080,2025-07-22 06:04:06,reebok,,False,Delhi,click
S100080,2025-07-22 06:07:06,realme 11 pro,P14032,True,Pune,click
S100081,2025-07-08 06:42:06,apple watch,P12024,False,Kolkata,search
S100081,2025-07-08 06:38:06,waterproof phone,,False,Lucknow,click
S100081,2025-07-08 06:41:06,white shoes,,False,Delhi,purchase
S100081,2025-07-08 06:21:06,iphone 14,,False,Pune,add_to_cart
S100082,2025-07-13 15:02:06,running shoes,P14046,False,Ahmedabad,wishlist
S100082,2025-07-13 14:41:06,runing shoes,P12106,False,Chennai,click
S100082,2025-07-13 15:05:06,ssd laptop,P13869,False,Chennai,click
S100082,2025-07-13 14:58:06,waterproof phone,P13198,False,Bangalore,click
S100082,2025-07-13 14:51:06,gaming mouse,P11198,True,Bangalore,click
S100083,2025-07-15 23:59:06,full sleeve shirt,P11449,False,Lucknow,search
S100083,2025-07-16 00:05:06,mobile phone,P10037,False,Chennai,search
S100083,2025-07-16 00:03:06,asus rog,,True,Kolkata,search
S100084,2025-06-28 05:41:06,garmin forerunner,P13502,False,Jaipur,click
S100084,2025-06-28 05:17:06,samsug galaxy a54,,False,Delhi,view_details
S100085,2025-07-01 05:06:06,televisn,,False,Bangalore,search
S100085,2025-07-01 05:14:06,airpods pro,P14288,False,Jaipur,click
S100086,2025-07-06 02:06:06,lnovo thinkpad,P12895,False,Lucknow,purchase
S100086,2025-07-06 01:53:06,dell xps 13,P11286,False,Mumbai,compare
S100087,2025-07-23 04:44:06,mobile undr 15000,,False,Ahmedabad,search
S100087,2025-07-23 05:03:06,blutooth keyboard,P14624,True,Kolkata,wishlist
S100088,2025-07-23 15:45:06,iphone 13,P11392,False,Kolkata,view_details
S100088,2025-07-23 16:14:06,led tv,P11192,False,Delhi,purchase
S100088,2025-07-23 16:09:06,phone above 10000,P14140,False,Pune,add_to_cart
S100089,2025-07-06 08:11:06,blutooth headphones,P14691,False,Ahmedabad,add_to_cart
S100089,2025-07-06 07:52:06,phone undr 15000,,False,Bangalore,purchase
S100090,2025-07-11 23:00:06,l g,,False,Kolkata,compare
S100090,2025-07-11 23:09:06,acer aspire,,False,Delhi,search
S100090,2025-07-11 23:11:06,wtch below 5000,P13771,False,Hyderabad,click
S100090,2025-07-11 22:51:06,sneakrs,,False,Kolkata,search
S100090,2025-07-11 22:45:06,casual shoes,P10099,True,Mumbai,search
S100091,2025-07-22 09:12:06,laptop under 15000,P11615,False,Kolkata,wishlist
S100091,2025-07-22 09:07:06,acer aspire,P13863,True,Delhi,view_details
S100092,2025-07-04 12:59:06,watch below 20000,P13619,True,Hyderabad,add_to_cart
S100093,2025-07-26 02:16:06,headphones under 5000,P13362,False,Bangalore,search
S100093,2025-07-26 02:13:06,wtch under 10000,P11040,False,Kolkata,search
S100094,2025-07-25 13:25:06,case,P13445,False,Delhi,click
S100094,2025-07-25 13:33:06,55 inch tv,P14587,False,Pune,click
S100094,2025-07-25 13:31:06,smartwatch,P13041,False,Mumbai,search
S100094,2025-07-25 13:19:06,bata,P14126,True,Chennai,purchase
S100095,2025-06-28 13:53:06,headphones,P13993,False,Chennai,click
S100095,2025-06-28 13:49:06,sneakers below 10000,P12564,True,Kolkata,search
S100096,2025-07-06 23:41:06,lptop between 10000 and 20000,P12793,False,Pune,search
S100096,2025-07-06 23:53:06,watch undr 20000,P10022,False,Ahmedabad,add_to_cart
S100096,2025-07-06 23:40:06,fitbit charge,,False,Hyderabad,view_details
S100096,2025-07-06 23:50:06,oled tv,P14528,False,Delhi,click
S100096,2025-07-06 23:47:06,full sleeve shirt,,False,Bangalore,click
S100097,2025-07-25 07:37:06,lenovo thnkpad,P11714,False,Mumbai,search
S100097,2025-07-25 07:45:06,apple watch,P11550,False,Ahmedabad,compare
S100097,2025-07-25 07:53:06,lg,,False,Jaipur,add_to_cart
S100098,2025-07-08 17:04:06,soy wh-1000xm5,P13796,False,Lucknow,view_details
S100099,2025-07-13 10:45:06,asus rog,,True,Kolkata,add_to_cart
S100100,2025-07-20 16:41:06,nke air max,P12476,False,Ahmedabad,search
S100100,2025-07-20 16:56:06,touchscreen laptop,P14498,True,Delhi,search
S100101,2025-06-28 04:15:06,watch abov 20000,P14084,True,Pune,purchase
S100102,2025-07-24 01:25:06,lnovo thinkpad,P14545,False,Bangalore,add_to_cart
S100102,2025-07-24 01:25:06,shoes under 15000,P11941,False,Hyderabad,click
S100102,2025-07-24 01:36:06,airpods pro,P14094,False,Lucknow,add_to_cart
S100102,2025-07-24 01:14:06,realme 11 pro,,False,Ahmedabad,click
S100102,2025-07-24 01:26:06,fast chargng mobile,P12926,False,Ahmedabad,search
S100102,2025-07-24 01:36:06,realme wacth,P14604,True,Mumbai,search
S100103,2025-07-14 21:47:06,realme watch,P12575,False,Lucknow,wishlist
S100103,2025-07-14 21:32:06,ssd laptop,P11293,False,Bangalore,click
S100103,2025-07-14 21:49:06,shoes under 20000,P13482,False,Chennai,click
S100104,2025-07-13 15:34:06,ikia,P13140,False,Hyderabad,click
S100104,2025-07-13 15:53:06,smartwach,P14026,False,Lucknow,click
S100104,2025-07-13 15:42:06,sneakers under 20000,,True,Ahmedabad,click
S100105,2025-07-03 15:50:06,mobile below 20000,P11706,False,Chennai,click
S100105,2025-07-03 15:55:06,55 inch tv,,False,Mumbai,view_details
S100106,2025-07-03 12:43:06,keybord,P11655,False,Ahmedabad,click
S100106,2025-07-03 12:43:06,laptop under 20000,P11544,False,Hyderabad,search
S100106,2025-07-03 12:42:06,lenovo ideapad,,False,Lucknow,click
S100106,2025-07-03 12:45:06,jbl,P11934,False,Jaipur,add_to_cart
S100106,2025-07-03 12:59:06,hp,P11607,False,Delhi,search
S100107,2025-07-14 06:36:06,bag,P10102,False,Jaipur,search
S100107,2025-07-14 06:41:06,watch abov 20000,P14829,False,Jaipur,click
S100107,2025-07-14 06:39:06,dell xps 13,,False,Pune,compare
S100108,2025-07-07 00:02:06,mobile under 5000,,False,Jaipur,click
S100108,2025-07-07 00:15:06,airpos pro,,False,Hyderabad,search
S100109,2025-07-11 19:59:06,earbuds under 30000,,False,Pune,click
S100109,2025-07-11 20:06:06,noise colorfit,P14714,False,Chennai,click
S100109,2025-07-11 20:05:06,vvo,P12799,False,Mumbai,add_to_cart
S100109,2025-07-11 20:04:06,realme 11 pro,,False,Ahmedabad,search
S100110,2025-07-10 00:58:06,phone above 10000,P12630,False,Jaipur,wishlist
S100110,2025-07-10 01:09:06,full sleeve shirt,P10022,False,Hyderabad,view_details
S100110,2025-07-10 01:06:06,leather strap watch,P13561,True,Chennai,add_to_cart
S100111,2025-07-12 01:09:06,watch under 10000,P14968,False,Ahmedabad,purchase
S100111,2025-07-12 01:04:06,acer aspire,,False,Mumbai,compare
S100112,2025-07-04 16:02:06,lg oled tv,P13379,False,Pune,wishlist
S100112,2025-07-04 15:50:06,samsung galaxy watch,,False,Pune,search
S100112,2025-07-04 16:15:06,xiomi,P13438,False,Delhi,click
S100112,2025-07-04 16:05:06,ass vivobok,P10287,True,Ahmedabad,click
S100113,2025-07-01 13:25:06,headphones under 5000,P11703,False,Delhi,search
S100113,2025-07-01 13:07:06,snkrs below 20000,,False,Chennai,search
