query_id,original_query,corrected_query,frequency,predicted_purchase,timestamp
275,samsung,samsung,56,yes,2025-06-30T17:42:33
276,gaming headphones,gaming headphones,91,maybe,2025-07-26T00:21:55
277,adidas,adidas,4,maybe,2025-07-24T05:16:28
278,wireless headphones,wireless headphones,81,no,2025-06-30T20:35:31
279,budget headphones,budget headphones,29,no,2025-07-13T02:56:50
280,casual dress,casual dress,100,no,2025-06-30T16:10:25
281,bluetooth earbuds,bluetooth earbuds,11,yes,2025-06-30T07:59:29
282,Home phone,Home phone,15,no,2025-07-26T06:11:15
283,samsung,samsung,19,no,2025-07-21T01:04:12
284,wireless speaker,wireless speaker,10,no,2025-07-22T07:26:04
285,oled monitor,oled monitor,13,no,2025-07-23T16:22:41
286,Fashion phone,Fashion phone,63,maybe,2025-07-05T12:59:37
287,apple,apple,88,no,2025-06-30T15:50:27
288,cheap camera,cheap camera,21,yes,2025-07-22T13:14:04
289,bluetooth speaker,bluetooth speaker,85,maybe,2025-07-01T18:54:28
290,Electronics shoes,Electronics shoes,45,no,2025-07-06T22:04:23
291,iphone,iphone,21,maybe,2025-07-01T05:24:16
292,bluetooth speaker,bluetooth speaker,78,yes,2025-07-26T18:50:15
293,iphone,iphone,67,maybe,2025-07-01T04:45:05
294,budget phone,budget phone,15,yes,2025-07-09T07:36:13
295,Fashion laptop,Fashion laptop,29,yes,2025-07-17T12:00:14
296,premium phone,premium phone,62,yes,2025-07-03T17:14:57
297,nike,nike,91,maybe,2025-07-25T13:17:28
298,portable watch,portable watch,64,no,2025-07-09T20:25:59
299,adidas ultraboost,adidas ultraboost,25,no,2025-07-26T00:03:39
300,budget headphones,budget headphones,92,no,2025-07-26T18:14:11
301,best shoes,best shoes,22,yes,2025-06-29T19:52:25
302,camera under 50000,camera under 50000,55,maybe,2025-07-01T21:05:20
303,smart watch,smart watch,14,maybe,2025-07-18T06:00:13
304,expensive laptop,expensive laptop,73,no,2025-07-26T05:35:56
305,4k monitor,4k monitor,22,yes,2025-07-25T08:06:30
306,nike air,nike air,76,no,2025-07-23T06:39:26
307,smart earbuds,smart earbuds,4,yes,2025-07-13T06:10:08
308,premium phone,premium phone,24,no,2025-07-10T13:23:07
309,running shoes,running shoes,85,no,2025-07-07T19:33:02
310,oled monitor,oled monitor,16,yes,2025-07-13T03:37:19
311,4k monitor,4k monitor,28,no,2025-07-09T11:39:38
312,oled tv,oled tv,50,no,2025-07-10T19:02:05
313,casual shoes,casual shoes,72,no,2025-07-17T02:41:43
314,adidas,adidas,88,no,2025-07-04T06:03:20
315,smart tv,smart tv,26,yes,2025-07-12T11:05:35
316,camera under 5000,camera under 5000,36,no,2025-07-20T02:16:35
317,samsung,samsung,58,yes,2025-07-13T05:56:40
318,curved tv,curved tv,74,yes,2025-07-01T10:05:24
319,bluetooth watch,bluetooth watch,74,yes,2025-06-28T08:25:28
320,shoes under 10000,shoes under 10000,52,yes,2025-07-20T03:30:45
321,iphone,iphone,44,maybe,2025-07-25T05:30:23
322,Electronics shirt,Electronics shirt,13,no,2025-07-02T18:03:28
323,smart earbuds,smart earbuds,97,no,2025-07-01T10:55:34
324,best shoes,best shoes,64,maybe,2025-07-23T23:57:39
325,Fashion shoes,Fashion shoes,90,no,2025-07-08T05:54:50
326,mobile under 20000,mobile under 20000,80,yes,2025-07-22T10:58:11
327,Electronics phone,Electronics phone,2,yes,2025-07-10T18:33:08
328,nike,nike,89,maybe,2025-07-04T07:53:40
329,top laptop,top laptop,12,yes,2025-07-14T20:11:46
330,4k tv,4k tv,34,yes,2025-07-01T05:43:08
331,samsung,samsung,39,yes,2025-07-09T18:11:00
332,smart watch,smart watch,79,no,2025-07-15T20:06:05
333,wireless speaker,wireless speaker,75,no,2025-07-11T17:36:20
334,apple,apple,41,yes,2025-07-05T13:21:35
335,expensive phone,expensive phone,67,maybe,2025-07-19T04:05:36
336,sports dress,sports dress,63,no,2025-07-24T06:27:58
337,curved tv,curved tv,12,no,2025-07-12T14:01:45
338,bluetooth earbuds,bluetooth earbuds,72,yes,2025-07-27T14:13:39
339,running shoes,running shoes,64,yes,2025-07-23T13:49:55
340,running dress,running dress,28,no,2025-06-28T06:41:09
341,top camera,top camera,14,no,2025-07-24T19:43:47
342,formal shirt,formal shirt,91,no,2025-07-12T10:22:22
343,gaming laptop,gaming laptop,29,no,2025-07-02T22:15:30
344,expensive laptop,expensive laptop,100,no,2025-07-04T10:01:54
345,running shirt,running shirt,55,yes,2025-07-10T17:41:47
346,bluetooth speaker,bluetooth speaker,60,yes,2025-07-03T12:03:19
347,apple,apple,3,no,2025-07-03T02:16:38
348,premium laptop,premium laptop,61,maybe,2025-07-24T18:07:25
349,adidas ultraboost,adidas ultraboost,46,no,2025-07-05T10:40:52
350,samsung,samsung,46,no,2025-07-11T02:52:48
351,casual shirt,casual shirt,65,no,2025-07-11T13:50:28
352,nike air,nike air,7,no,2025-07-27T06:14:57
353,smart speaker,smart speaker,7,maybe,2025-07-08T02:58:21
354,expensive laptop,expensive laptop,38,yes,2025-07-14T13:03:21
355,top shoes,top shoes,68,maybe,2025-07-07T18:46:46
356,headphones under 50000,headphones under 50000,14,maybe,2025-07-10T17:08:05
357,Home laptop,Home laptop,15,yes,2025-07-22T10:24:56
358,samsung,samsung,5,maybe,2025-07-21T14:45:08
359,wireless speaker,wireless speaker,69,yes,2025-07-10T02:08:55
360,wireless watch,wireless watch,90,maybe,2025-06-30T08:45:23
361,expensive camera,expensive camera,13,yes,2025-07-02T09:06:24
362,portable speaker,portable speaker,22,yes,2025-07-18T11:04:22
363,smart monitor,smart monitor,94,yes,2025-07-11T07:55:37
364,apple,apple,65,maybe,2025-06-30T00:56:10
365,shoes under 10000,shoes under 10000,22,no,2025-06-28T01:42:08
366,apple,apple,24,no,2025-07-14T02:11:34
367,laptop under 5000,laptop under 5000,86,no,2025-07-04T05:59:14
368,cheap phone,cheap phone,23,no,2025-07-10T14:46:17
369,apple,apple,87,yes,2025-07-05T17:49:40
370,curved tv,curved tv,63,yes,2025-07-19T08:20:49
371,mobile under 5000,mobile under 5000,3,maybe,2025-07-24T16:19:32
372,wireless watch,wireless watch,65,yes,2025-07-18T15:51:45
373,gaming laptop,gaming laptop,39,maybe,2025-07-25T03:04:30
374,curved monitor,curved monitor,95,no,2025-06-28T08:50:14
375,nike air,nike air,85,no,2025-07-03T07:54:50
376,smart earbuds,smart earbuds,2,no,2025-07-01T13:14:12
377,smart watch,smart watch,100,maybe,2025-07-05T03:13:55
378,mobile under 20000,mobile under 20000,88,maybe,2025-07-24T09:13:48
379,Electronics shirt,Electronics shirt,29,maybe,2025-06-29T15:32:49
380,premium phone,premium phone,4,yes,2025-07-15T19:44:21
381,cheap laptop,cheap laptop,96,yes,2025-07-26T04:14:39
382,sports dress,sports dress,14,no,2025-07-24T17:18:35
383,adidas ultraboost,adidas ultraboost,68,yes,2025-07-05T02:06:47
384,smart earbuds,smart earbuds,51,maybe,2025-07-18T18:18:33
385,cheap shoes,cheap shoes,25,yes,2025-07-04T02:03:22
386,nike air,nike air,79,yes,2025-06-29T22:18:19
387,expensive shoes,expensive shoes,37,yes,2025-07-12T20:43:06
388,Fashion laptop,Fashion laptop,60,maybe,2025-07-15T14:25:16
389,premium headphones,premium headphones,72,maybe,2025-06-29T20:03:08
390,premium phone,premium phone,37,yes,2025-07-15T06:26:57
391,bluetooth earbuds,bluetooth earbuds,6,yes,2025-07-08T02:19:41
392,bluetooth speaker,bluetooth speaker,63,no,2025-07-10T00:17:40
393,Fashion shoes,Fashion shoes,85,yes,2025-07-02T21:20:04
394,Fashion laptop,Fashion laptop,45,no,2025-07-15T01:38:12
395,samsung galaxy,samsung galaxy,12,maybe,2025-07-25T01:52:58
396,wireless watch,wireless watch,26,no,2025-07-17T15:02:07
397,nike,nike,29,yes,2025-07-05T09:38:20
398,shoes under 10000,shoes under 10000,87,maybe,2025-07-09T09:23:25
399,expensive camera,expensive camera,13,no,2025-07-05T18:53:58
400,smart speaker,smart speaker,73,no,2025-07-06T11:51:08
401,oled tv,oled tv,33,yes,2025-07-17T21:55:45
402,top shoes,top shoes,40,yes,2025-06-29T02:26:58
403,portable watch,portable watch,24,no,2025-07-06T14:32:30
404,best laptop,best laptop,68,no,2025-07-14T00:35:43
405,smart monitor,smart monitor,46,no,2025-07-17T21:15:07
406,camera under 50000,camera under 50000,60,yes,2025-07-09T22:42:25
407,iphone,iphone,99,no,2025-07-10T20:25:21
408,apple,apple,79,no,2025-07-05T15:03:01
409,formal shoes,formal shoes,80,maybe,2025-07-03T03:30:42
410,bluetooth earbuds,bluetooth earbuds,17,no,2025-07-16T11:15:53
411,Fashion shirt,Fashion shirt,7,yes,2025-06-29T18:41:19
412,Fashion phone,Fashion phone,43,maybe,2025-07-20T17:57:54
413,nike,nike,73,no,2025-07-08T16:43:31
414,4k tv,4k tv,95,maybe,2025-07-07T14:05:26
415,iphone,iphone,90,yes,2025-07-20T05:51:48
416,samsung galaxy,samsung galaxy,72,maybe,2025-07-14T20:57:10
417,laptop under 10000,laptop under 10000,87,maybe,2025-07-12T17:08:40
418,premium headphones,premium headphones,40,maybe,2025-07-08T22:44:21
419,Fashion laptop,Fashion laptop,15,yes,2025-07-08T17:17:46
420,Electronics phone,Electronics phone,67,yes,2025-06-29T01:08:32
421,casual shoes,casual shoes,61,yes,2025-07-07T06:35:02
422,adidas ultraboost,adidas ultraboost,51,yes,2025-07-17T05:49:04
423,nike,nike,52,no,2025-07-13T20:01:27
424,budget headphones,budget headphones,34,maybe,2025-07-11T10:10:02
425,headphones under 5000,headphones under 5000,56,yes,2025-07-01T06:27:08
426,Electronics laptop,Electronics laptop,96,maybe,2025-07-11T10:46:32
427,casual dress,casual dress,95,maybe,2025-07-14T22:41:10
428,samsung galaxy,samsung galaxy,61,no,2025-07-22T15:04:19
429,smart watch,smart watch,13,maybe,2025-07-17T07:13:49
430,shoes under 20000,shoes under 20000,51,no,2025-07-23T22:18:28
431,adidas,adidas,54,no,2025-07-13T23:23:20
432,gaming phone,gaming phone,59,yes,2025-06-29T05:43:42
433,best shoes,best shoes,5,maybe,2025-07-03T11:57:15
434,mobile under 20000,mobile under 20000,18,no,2025-07-10T13:54:32
435,shoes under 5000,shoes under 5000,21,no,2025-07-06T13:37:04
436,samsung galaxy,samsung galaxy,45,maybe,2025-07-26T02:00:26
